date,open,high,low,close,vol(btc)
10/02/17 10:00 AM,4444.39,4453,4377.83,4379.98,745.44
10/02/17 08:00 AM,4389.99,4451.11,4382.94,4435.12,665.6
10/02/17 06:00 AM,4408.95,4421.72,4380.54,4392.98,533.99
10/02/17 04:00 AM,4374.12,4415.51,4374.12,4408.99,435.52
10/02/17 02:00 AM,4390.03,4400.17,4356.05,4381.33,476.72
10/02/17 12:00 AM,4369.33,4419,4356.05,4393.37,762.24
10/01/17 10:00 PM,4322.05,4377.22,4319.05,4377.22,814.79
10/01/17 08:00 PM,4289.1,4324.18,4282.09,4322.05,440.49
10/01/17 06:00 PM,4275,4290,4264.47,4289.17,293.16
10/01/17 04:00 PM,4270,4289.95,4257.49,4277.99,288.97
10/01/17 02:00 PM,4243.3,4270.01,4230,4270.01,438.43
10/01/17 12:00 PM,4278.3,4281.92,4216,4248.61,2123.74
10/01/17 10:00 AM,4281.64,4299,4272.21,4273.26,396.31
10/01/17 08:00 AM,4308.91,4315.99,4275,4276.78,625.62
10/01/17 06:00 AM,4290.76,4316.22,4285.33,4308.71,281.02
10/01/17 04:00 AM,4287.06,4304.94,4270.01,4290.8,426.64
10/01/17 02:00 AM,4312.62,4314.69,4255,4291.36,503.82
10/01/17 12:00 AM,4326.09,4349,4291.36,4312.62,578.34
09/30/17 10:00 PM,4305,4330,4305,4326.09,222.46
09/30/17 08:00 PM,4318.07,4349,4304.64,4304.64,686.34
09/30/17 06:00 PM,4312.98,4334.38,4302.16,4318.07,576.18
09/30/17 04:00 PM,4322.24,4347.2,4291.36,4312.97,891.91
09/30/17 02:00 PM,4276.11,4335.22,4265.55,4329.96,1019.89
09/30/17 12:00 PM,4264.4,4289.99,4256.7,4273.58,286.35
09/30/17 10:00 AM,4261.85,4291.36,4256.58,4259.24,443.96
09/30/17 08:00 AM,4291.5,4292.36,4245,4261.89,452.77
09/30/17 06:00 AM,4224.95,4291.5,4224.95,4291.5,1726.64
09/30/17 04:00 AM,4185.73,4224.95,4180.55,4224.95,430.27
09/30/17 02:00 AM,4207.58,4217.56,4185.67,4190.72,296.75
