Date,Transactions
2009-01-03,1
2009-01-05,0
2009-01-07,0
2009-01-09,14
2009-01-11,106
2009-01-13,116
2009-01-15,136
2009-01-17,109
2009-01-19,120
2009-01-21,115
2009-01-23,68
2009-01-25,195
2009-01-27,105
2009-01-29,122
2009-01-31,129
2009-02-02,127
2009-02-04,126
2009-02-06,129
2009-02-08,135
2009-02-10,127
2009-02-12,119
2009-02-14,141
2009-02-16,123
2009-02-18,124
2009-02-20,129
2009-02-22,125
2009-02-24,111
2009-02-26,96
2009-02-28,103
2009-03-02,104
2009-03-04,106
2009-03-06,119
2009-03-08,115
2009-03-10,105
2009-03-12,119
2009-03-14,116
2009-03-16,131
2009-03-18,110
2009-03-20,119
2009-03-22,97
2009-03-24,105
2009-03-26,114
2009-03-28,122
2009-03-30,125
2009-04-01,107
2009-04-03,113
2009-04-05,129
2009-04-07,99
2009-04-09,99
2009-04-11,123
2009-04-13,118
2009-04-15,112
2009-04-17,115
2009-04-19,121
2009-04-21,125
2009-04-23,80
2009-04-25,122
2009-04-27,105
2009-04-29,123
2009-05-01,123
2009-05-03,115
2009-05-05,133
2009-05-07,121
2009-05-09,91
2009-05-11,120
2009-05-13,117
2009-05-15,145
2009-05-17,125
2009-05-19,100
2009-05-21,89
2009-05-23,7
2009-05-25,112
2009-05-27,125
2009-05-29,108
2009-05-31,118
2009-06-02,89
2009-06-04,39
2009-06-06,24
2009-06-08,72
2009-06-10,83
2009-06-12,91
2009-06-14,70
2009-06-16,73
2009-06-18,81
2009-06-20,84
2009-06-22,81
2009-06-24,87
2009-06-26,90
2009-06-28,52
2009-06-30,89
2009-07-02,72
2009-07-04,89
2009-07-06,91
2009-07-08,79
2009-07-10,82
2009-07-12,76
2009-07-14,72
2009-07-16,69
2009-07-18,3
2009-07-20,75
2009-07-22,69
2009-07-24,75
2009-07-26,13
2009-07-28,44
2009-07-30,16
2009-08-01,23
2009-08-03,15
2009-08-05,91
2009-08-07,74
2009-08-09,98
2009-08-11,67
2009-08-13,81
2009-08-15,34
2009-08-17,17
2009-08-19,15
2009-08-21,16
2009-08-23,12
2009-08-25,55
2009-08-27,33
2009-08-29,83
2009-08-31,95
2009-09-02,68
2009-09-04,63
2009-09-06,72
2009-09-08,66
2009-09-10,61
2009-09-12,71
2009-09-14,81
2009-09-16,59
2009-09-18,81
2009-09-20,79
2009-09-22,35
2009-09-24,82
2009-09-26,94
2009-09-28,88
2009-09-30,87
2009-10-02,76
2009-10-04,61
2009-10-06,43
2009-10-08,70
2009-10-10,77
2009-10-12,63
2009-10-14,56
2009-10-16,66
2009-10-18,65
2009-10-20,111
2009-10-22,88
2009-10-24,75
2009-10-26,65
2009-10-28,64
2009-10-30,62
2009-11-01,30
2009-11-03,57
2009-11-05,65
2009-11-07,76
2009-11-09,65
2009-11-11,78
2009-11-13,73
2009-11-15,96
2009-11-17,91
2009-11-19,73
2009-11-21,77
2009-11-23,96
2009-11-25,85
2009-11-27,75
2009-11-29,58
2009-12-01,66
2009-12-03,85
2009-12-05,52
2009-12-07,94
2009-12-09,104
2009-12-11,125
2009-12-13,104
2009-12-15,117
2009-12-17,163
2009-12-19,225
2009-12-21,188
2009-12-23,169
2009-12-25,158
2009-12-27,170
2009-12-29,164
2009-12-31,150
2010-01-02,132
2010-01-04,192
2010-01-06,158
2010-01-08,150
2010-01-10,191
2010-01-12,168
2010-01-14,159
2010-01-16,135
2010-01-18,130
2010-01-20,140
2010-01-22,152
2010-01-24,148
2010-01-26,208
2010-01-28,176
2010-01-30,183
2010-02-01,189
2010-02-03,246
2010-02-05,250
2010-02-07,210
2010-02-09,211
2010-02-11,181
2010-02-13,227
2010-02-15,194
2010-02-17,244
2010-02-19,183
2010-02-21,218
2010-02-23,252
2010-02-25,150
2010-02-27,176
2010-03-01,187
2010-03-03,151
2010-03-05,178
2010-03-07,178
2010-03-09,149
2010-03-11,154
2010-03-13,160
2010-03-15,128
2010-03-17,127
2010-03-19,144
2010-03-21,191
2010-03-23,215
2010-03-25,197
2010-03-27,182
2010-03-29,205
2010-03-31,213
2010-04-02,155
2010-04-04,175
2010-04-06,175
2010-04-08,208
2010-04-10,294
2010-04-12,270
2010-04-14,230
2010-04-16,234
2010-04-18,1337
2010-04-20,242
2010-04-22,210
2010-04-24,191
2010-04-26,220
2010-04-28,219
2010-04-30,181
2010-05-02,197
2010-05-04,151
2010-05-06,173
2010-05-08,170
2010-05-10,161
2010-05-12,147
2010-05-14,148
2010-05-16,118
2010-05-18,217
2010-05-20,221
2010-05-22,227
2010-05-24,262
2010-05-26,259
2010-05-28,265
2010-05-30,200
2010-06-01,178
2010-06-03,219
2010-06-05,188
2010-06-07,211
2010-06-09,199
2010-06-11,248
2010-06-13,221
2010-06-15,288
2010-06-17,208
2010-06-19,218
2010-06-21,242
2010-06-23,242
2010-06-25,227
2010-06-27,215
2010-06-29,253
2010-07-01,273
2010-07-03,283
2010-07-05,243
2010-07-07,209
2010-07-09,258
2010-07-11,242
2010-07-13,1739
2010-07-15,1793
2010-07-17,462
2010-07-19,487
2010-07-21,465
2010-07-23,392
2010-07-25,2337
2010-07-27,445
2010-07-29,3455
2010-07-31,295
2010-08-02,413
2010-08-04,375
2010-08-06,368
2010-08-08,323
2010-08-10,402
2010-08-12,407
2010-08-14,424
2010-08-16,318
2010-08-18,377
2010-08-20,398
2010-08-22,350
2010-08-24,337
2010-08-26,374
2010-08-28,348
2010-08-30,288
2010-09-01,408
2010-09-03,314
2010-09-05,303
2010-09-07,271
2010-09-09,343
2010-09-11,296
2010-09-13,436
2010-09-15,450
2010-09-17,379
2010-09-19,339
2010-09-21,636
2010-09-23,698
2010-09-25,451
2010-09-27,639
2010-09-29,998
2010-10-01,563
2010-10-03,401
2010-10-05,353
2010-10-07,370
2010-10-09,382
2010-10-11,348
2010-10-13,350
2010-10-15,333
2010-10-17,485
2010-10-19,964
2010-10-21,602
2010-10-23,623
2010-10-25,479
2010-10-27,569
2010-10-29,466
2010-10-31,311
2010-11-02,283
2010-11-04,339
2010-11-06,389
2010-11-08,498
2010-11-10,372
2010-11-12,296
2010-11-14,399
2010-11-16,12087
2010-11-18,434
2010-11-20,12322
2010-11-22,395
2010-11-24,2749
2010-11-26,1542
2010-11-28,457
2010-11-30,455
