Date	Total	NE	MW	S	W
1973/01/01	55	7	9	24	15
1973/02/01	60	7	11	26	16
1973/03/01	68	9	15	27	17
1973/04/01	63	9	11	26	16
1973/05/01	65	9	12	26	17
1973/06/01	61	9	12	25	15
1973/07/01	54	8	11	21	14
1973/08/01	52	9	10	21	13
1973/09/01	46	9	9	17	11
1973/10/01	42	8	8	17	10
1973/11/01	37	6	7	14	10
1973/12/01	30	3	6	13	7
1974/01/01	37	4	8	15	9
1974/02/01	44	5	7	17	14
1974/03/01	55	7	12	21	15
1974/04/01	53	7	11	19	16
1974/05/01	58	8	13	23	14
1974/06/01	50	8	8	22	12
1974/07/01	48	6	9	20	12
1974/08/01	45	6	10	17	13
1974/09/01	41	6	9	16	11
1974/10/01	34	4	6	14	10
1974/11/01	30	4	6	12	9
1974/12/01	24	4	6	10	5
1975/01/01	29	3	4	14	9
1975/02/01	34	4	6	14	9
1975/03/01	44	6	9	18	11
1975/04/01	54	6	10	23	15
1975/05/01	57	8	10	24	14
1975/06/01	51	8	12	17	14
1975/07/01	51	6	10	20	14
1975/08/01	53	5	11	20	16
1975/09/01	46	6	10	16	13
1975/10/01	46	7	8	19	12
1975/11/01	46	6	8	20	12
1975/12/01	39	5	7	16	11
1976/01/01	41	4	8	17	13
1976/02/01	53	5	10	21	17
1976/03/01	55	6	11	20	17
1976/04/01	62	7	14	22	19
1976/05/01	55	7	13	21	14
1976/06/01	56	7	11	21	18
1976/07/01	57	8	11	21	18
1976/08/01	59	6	12	24	17
1976/09/01	58	6	12	21	18
1976/10/01	55	6	9	20	19
1976/11/01	49	5	9	19	16
1976/12/01	47	5	8	19	15
1977/01/01	57	5	9	23	21
1977/02/01	68	5	12	25	26
1977/03/01	84	7	14	34	30
1977/04/01	81	9	18	30	23
1977/05/01	78	10	16	30	22
1977/06/01	74	9	15	27	23
1977/07/01	64	7	14	25	18
1977/08/01	74	8	16	26	23
1977/09/01	71	8	15	28	21
1977/10/01	63	7	14	24	19
1977/11/01	55	7	10	22	17
1977/12/01	51	4	10	23	14
1978/01/01	57	3	8	25	21
1978/02/01	63	6	12	23	22
1978/03/01	75	6	14	31	24
1978/04/01	85	8	17	33	27
1978/05/01	80	7	16	34	24
1978/06/01	77	9	11	31	26
1978/07/01	68	7	12	29	20
1978/08/01	72	7	14	26	25
1978/09/01	68	7	10	28	22
1978/10/01	70	6	14	29	21
1978/11/01	53	5	9	23	16
1978/12/01	50	6	8	22	15
1979/01/01	53	6	7	20	20
1979/02/01	58	4	9	23	22
1979/03/01	73	6	11	30	26
1979/04/01	72	7	12	32	21
1979/05/01	68	7	13	27	21
1979/06/01	63	7	12	26	18
1979/07/01	64	5	12	28	19
1979/08/01	68	6	10	32	20
1979/09/01	60	5	8	25	22
1979/10/01	54	7	8	25	14
1979/11/01	41	4	7	19	10
1979/12/01	35	4	4	15	11
1980/01/01	43	3	5	22	14
1980/02/01	44	4	6	21	13
1980/03/01	44	4	7	22	11
1980/04/01	36	3	7	17	9
1980/05/01	44	3	6	24	10
1980/06/01	50	4	7	25	14
1980/07/01	55	4	7	27	16
1980/08/01	61	6	11	28	16
1980/09/01	50	6	8	23	14
1980/10/01	46	6	8	21	11
1980/11/01	39	4	5	20	10
1980/12/01	33	3	4	18	8
1981/01/01	37	3	4	19	11
1981/02/01	40	3	4	21	12
1981/03/01	49	4	7	26	12
1981/04/01	44	5	6	22	12
1981/05/01	45	5	6	23	11
1981/06/01	38	5	6	18	9
1981/07/01	36	5	5	16	10
1981/08/01	34	4	6	16	8
1981/09/01	28	3	5	13	6
